,No Scaling,StandardScaler,MinMaxScaler,PowerTransformer,QuantileTransformer
Logistic Regression,74.68%,75.32%,75.32%,75.32%,76.62%
Decision Tree,75.32%,75.32%,75.32%,75.32%,74.68%
Random Forest,73.38%,73.38%,73.38%,72.73%,73.38%
SVM,76.62%,73.38%,75.32%,76.62%,77.27%
K-Nearest Neighbors,66.23%,69.48%,68.18%,74.68%,74.03%
Naive Bayes,76.62%,76.62%,76.62%,74.03%,72.08%
Gradient Boosting,74.68%,74.68%,74.68%,74.68%,74.03%
AdaBoost,77.92%,77.92%,77.92%,77.92%,77.92%
Voting Classifier,75.97%,77.27%,77.27%,77.92%,77.27%
ANN-Small,62.99%,76.62%,63.64%,71.43%,64.94%
ANN-Medium,64.94%,75.97%,64.29%,77.27%,70.78%
ANN-Large,64.94%,76.62%,77.92%,77.27%,74.03%
ANN-Deep,67.53%,74.68%,75.97%,75.32%,74.68%
ANN-Wide,62.99%,70.78%,64.29%,74.03%,71.43%
