Model,Accuracy,Precision,Recall,F1-Score
AdaBoost,0.7922077922077922,0.72,0.6666666666666666,0.6923076923076923
Random Forest,0.7597402597402597,0.6808510638297872,0.5925925925925926,0.6336633663366337
Support Vector Machine,0.7532467532467533,0.66,0.6111111111111112,0.6346153846153846
Gradient Boosting,0.7532467532467533,0.6666666666666666,0.5925925925925926,0.6274509803921569
XGBoost,0.7337662337662337,0.6226415094339622,0.6111111111111112,0.616822429906542
Decision Tree,0.7207792207792207,0.6341463414634146,0.48148148148148145,0.5473684210526316
Logistic Regression,0.7142857142857143,0.6086956521739131,0.5185185185185185,0.56
Naive Bayes,0.7077922077922078,0.5737704918032787,0.6481481481481481,0.6086956521739131
K-Nearest Neighbors,0.7012987012987013,0.5833333333333334,0.5185185185185185,0.5490196078431373
Neural Network (MLP),0.7012987012987013,0.5625,0.6666666666666666,0.6101694915254238
